dataset,condition,hemi,subject_row,measure,value,dataset_pair
PNI,T1w,L,0,consistency,0.9943144316235274,
PNI,T1w,L,1,consistency,0.9936261086450219,
PNI,T1w,L,2,consistency,0.9986607187931401,
PNI,T1w,L,3,consistency,0.9962140648570742,
PNI,T1w,L,4,consistency,0.9923533795933805,
PNI,T1w,L,5,consistency,0.9982527809808751,
PNI,T1w,L,6,consistency,,
PNI,T1w,L,7,consistency,0.9992204549696896,
PNI,T1w,L,8,consistency,0.9967957639303687,
PNI,T1w,L,9,consistency,,
PNI,T1w,L,10,consistency,,
PNI,T1w,L,11,consistency,,
PNI,T1w,L,12,consistency,,
PNI,T1w,L,13,consistency,,
PNI,T1w,L,14,consistency,0.9893194342252278,
PNI,T1w,L,15,consistency,0.9951295990525572,
PNI,T1w,L,16,consistency,,
PNI,T1w,L,17,consistency,0.9930951766935378,
PNI,T1w,L,18,consistency,,
PNI,T1w,L,19,consistency,,
PNI,T1w,L,20,consistency,0.9870902606880614,
PNI,T1w,L,21,consistency,,
PNI,T1w,L,22,consistency,0.9867031812446772,
PNI,T1w,L,23,consistency,0.986171142633804,
PNI,T1w,L,24,consistency,,
PNI,T1w,L,25,consistency,0.997133959981205,
PNI,T1w,R,0,consistency,0.9950559380670158,
PNI,T1w,R,1,consistency,0.9942478832829679,
PNI,T1w,R,2,consistency,0.9987923109624006,
PNI,T1w,R,3,consistency,0.9966768370034578,
PNI,T1w,R,4,consistency,0.9918670616192486,
PNI,T1w,R,5,consistency,0.9975024756697212,
PNI,T1w,R,6,consistency,,
PNI,T1w,R,7,consistency,0.9987041029405129,
PNI,T1w,R,8,consistency,0.9973465863104197,
PNI,T1w,R,9,consistency,,
PNI,T1w,R,10,consistency,,
PNI,T1w,R,11,consistency,,
PNI,T1w,R,12,consistency,,
PNI,T1w,R,13,consistency,,
PNI,T1w,R,14,consistency,0.9904406985002503,
PNI,T1w,R,15,consistency,0.9952758204333918,
PNI,T1w,R,16,consistency,,
PNI,T1w,R,17,consistency,0.9936184160909141,
PNI,T1w,R,18,consistency,,
PNI,T1w,R,19,consistency,,
PNI,T1w,R,20,consistency,0.9881036546958771,
PNI,T1w,R,21,consistency,,
PNI,T1w,R,22,consistency,0.986594910436697,
PNI,T1w,R,23,consistency,0.9869871590103926,
PNI,T1w,R,24,consistency,,
PNI,T1w,R,25,consistency,0.9980018767011961,
PNI,synthseg_v0.2,L,0,consistency,0.9936000201833971,
PNI,synthseg_v0.2,L,1,consistency,0.99349161865777,
PNI,synthseg_v0.2,L,2,consistency,0.9981593829791239,
PNI,synthseg_v0.2,L,3,consistency,0.9963243169845931,
PNI,synthseg_v0.2,L,4,consistency,0.9913121596982734,
PNI,synthseg_v0.2,L,5,consistency,0.9945545261111151,
PNI,synthseg_v0.2,L,6,consistency,,
PNI,synthseg_v0.2,L,7,consistency,0.9986784897802753,
PNI,synthseg_v0.2,L,8,consistency,0.9968197108337551,
PNI,synthseg_v0.2,L,9,consistency,,
PNI,synthseg_v0.2,L,10,consistency,,
PNI,synthseg_v0.2,L,11,consistency,,
PNI,synthseg_v0.2,L,12,consistency,,
PNI,synthseg_v0.2,L,13,consistency,,
PNI,synthseg_v0.2,L,14,consistency,0.9862209382191943,
PNI,synthseg_v0.2,L,15,consistency,0.9940349340089258,
PNI,synthseg_v0.2,L,16,consistency,,
PNI,synthseg_v0.2,L,17,consistency,0.9965160894406602,
PNI,synthseg_v0.2,L,18,consistency,,
PNI,synthseg_v0.2,L,19,consistency,,
